"","ID","Duration..in.seconds.","ResponseId","Q2","Q7","Q8","Q9","Q10","Q11","Q12","Q13_1","Q13_2","Q13_3","Q33_17","Q33_18","Q33_19","Q33_20","Q33_21","Q33_22","Q33_23","Q33_24","Q33_25","Q33_26","Q33_27","Q33_28","Q33_29","Q33_30","Q15","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q16_6","Q16_7","Q16_7_TEXT","Q17","Q18_1","Q18_2","Q18_3","Q18_4","Q18_5","Q18_6","Q18_6_TEXT","Q20_1","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q22","Q23","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q24_6","Q24_7","Q24_8","Q24_9","Q24_10","Q24_11","Q24_12","Q24_13","Q24_14","Q24_15","Q25","Q26","Q27_1","Q28","Q29_5","Q29_6","Q30_4","Q30_5","Q30_6","Q30_7","Q30_8","Q30_9","Q30_10","Q30_11","Q30_12","Q30_13","Q30_14","Q31"
"1",421,488,"R_1EKfjz6mbC4XbwJ","arkansas","","","","many people believe in it","pizza
donut","pizza","Agree","Agree","Agree","","Blackberries","","Muscadine Grapes","Pawpaws","","","","Sassafras","","","","Wild Herbs","","Yes, I had heard of Alpha-gal syndrome.","Medical professionals (Doctor, Nurse, etc.)","","","","","","","","Very Concerned","","Wearing long sleeves and pants when in wooded or grassy areas","","Avoiding areas known for a high presence of Lone Star ticks","","","",9,"Strongly Trust","Trust","Strongly Trust","Strongly Trust","Strongly Trust","Trust","35 - 44","Female","White","","","","","","","","","","","","","","","No, not of Hispanic, Latino, or Spanish origin","More than $150,000",4,"Muslim",195,154,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","","","","Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)","","","","","","Supercenter and wholesale (e.g. Walmart, Costco)"
"2",509,202,"R_3st8uigbixwCC4V","mississippi","","clarke","","alot of people only eat certain foods that reside with the state they live in.","potatoes or potpie to be honest","more carrots to be completely honest","Strongly Agree","Strongly Agree","Strongly Agree","","Blackberries","","","","","Persimmons","","","Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)","","","","","Yes, I had heard of Alpha-gal syndrome.","Medical professionals (Doctor, Nurse, etc.)","","Educational Institutions (Schools, Colleges, etc.)","","","","","","Very Concerned","Using insect repellent when outdoors","Wearing long sleeves and pants when in wooded or grassy areas","Checking for ticks after spending time outdoors","","","","",9,"Strongly Trust","Trust","Strongly Trust","Strongly Trust","Trust","Strongly Trust","18 - 24","Male","","","American Indian or Alaska Native","","","","","","","","","","","","","Yes, Puerto Rican","More than $150,000",2,"Catholic",201,134,"Supercenter and wholesale (e.g. Walmart, Costco)","","","","","","","","","","","Supercenter and wholesale (e.g. Walmart, Costco)"
"3",868,253,"R_3nxfbo9q068NukH","louisiana","orleans","","","fruits and vegetables: california is a major producer of fruits and vegetables, including avocados, oranges, strawberries, grapes, lettuce, tomatoes, and almonds.","seafood: the mississippi river delta is home to a variety of seafood, including catfish, shrimp, crab, and oysters. these are all popular ingredients in many dishes in the region, such as gumbo, jambalaya, and etouffee.","fruits and vegetables: the mississippi river delta region has a warm climate and fertile soil, which is ideal for growing a variety of fruits and vegetables. i would like to see more farmers in the region growing fruits and vegetables, such as tomatoes, cucumbers, peppers, squash, and melons.","Agree","Strongly Agree","Neutral","","","Ramps","","","Mayhaw","Persimmons","Mushrooms","","","","Cattails","","","Yes, I had heard of Alpha-gal syndrome.","","News/Media","Educational Institutions (Schools, Colleges, etc.)","Social Media","","Friends or Family","","","Somewhat Concerned","","Wearing long sleeves and pants when in wooded or grassy areas","","Avoiding areas known for a high presence of Lone Star ticks","Seeking medical advice or consultation about prevention","","",7,"Trust","Strongly Trust","Neutral","Trust","Trust","Neutral","45 - 54","Male","White","","","","","","","","","","","","","","","No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",4,"Atheist/Agnostic",193,174,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","","","Discount store (e.g. Dollar Store; Aldi)","","","","Food box (e.g. sourced from many farms/producers; picked up at food hub or delivered to home)","Meal/Meal Kit Delivery Service (e.g. Blue Apron, Schwan's, etc.)","","Supercenter and wholesale (e.g. Walmart, Costco)"
"4",923,241,"R_eKCPT0tvZjhwLuh","arkansas","","","","not sure","not sure","not sure","Neutral","Neutral","Neutral","Pecans","","","","","","Persimmons","Mushrooms","","","Wild Nuts","","","","No, I have never heard of this before.","","","","","","","Other (Please Specify)","Never heard of it before","Somewhat Concerned","Using insect repellent when outdoors","Wearing long sleeves and pants when in wooded or grassy areas","Checking for ticks after spending time outdoors","Avoiding areas known for a high presence of Lone Star ticks","","","",5,"Trust","Trust","Neutral","Neutral","Distrust","Distrust","18 - 24","Female","White","","","","","","","","","","","","","","","No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",3,"Jewish",200,0,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","","","Discount store (e.g. Dollar Store; Aldi)","","","","","","","Supercenter and wholesale (e.g. Walmart, Costco)"
"5",926,213,"R_2EiQnDG6HGwDGKI","tennessee","","","mcnairy","none","none","none","Neutral","Neutral","Neutral","","","","","","","","","","","","","","None of the above","No, I have never heard of this before.","","","Educational Institutions (Schools, Colleges, etc.)","","","","","","Not Concerned at all","","","Checking for ticks after spending time outdoors","","","","",10,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","55 - 64","Female","White","","","","","","","","","","","","","","","No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",2,"None of the above or other",250,9,"Supercenter and wholesale (e.g. Walmart, Costco)","","","","","","","","","","","Supercenter and wholesale (e.g. Walmart, Costco)"
"6",936,240,"R_ylr9GwiuSnduXFD","tennessee","","","montgomery","not sure ","not sure ","not sure ","Neutral","Agree","Strongly Disagree","","","","Muscadine Grapes","","","","","","","","","","","No, I have never heard of this before.","","","","","","","Other (Please Specify)","None ","Not Concerned at all","Using insect repellent when outdoors","","","","","","",2,"Strongly Distrust","Strongly Distrust","Strongly Distrust","Strongly Distrust","Strongly Distrust","Strongly Distrust","55 - 64","Female","White","","","","","","","","","","","","","","","No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",2,"None of the above or other",107,64,"Supercenter and wholesale (e.g. Walmart, Costco)","","","","","","","","","","","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)"
"7",969,336,"R_1BQkTJhoq4b4yZ7","missouri","","","","chips","chips
","i don't know","Neutral","Disagree","Disagree","Pecans","","","","","","","","","","","","","","No, but I had heard about a tick bite that makes you allergic to red meat.","","","","Social Media","","Friends or Family","","","Somewhat Concerned","Using insect repellent when outdoors","Wearing long sleeves and pants when in wooded or grassy areas","Checking for ticks after spending time outdoors","Avoiding areas known for a high presence of Lone Star ticks","Seeking medical advice or consultation about prevention","","",5,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","18 - 24","Female","","Black or African American","","","","","","","","","","","","","","No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",5,"Not religious",102,116,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","","","","","","","","","","Supercenter and wholesale (e.g. Walmart, Costco)"
"8",998,163,"R_1K9L4jwLbV8wF7g","mississippi","","hinds","","none ","none ","none ","Neutral","Neutral","Neutral","","","","","","","","","","","","","","None of the above","No, I have never heard of this before.","","","","","","","Other (Please Specify)","None ","Neutral","Using insect repellent when outdoors","Wearing long sleeves and pants when in wooded or grassy areas","","","","","",3,"Trust","Trust","Trust","Trust","Trust","Trust","35 - 44","Female","","Black or African American","","","","","","","","","","","","","","No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",7,"None of the above or other",156,25,"Supercenter and wholesale (e.g. Walmart, Costco)","","","","","","","","","","","Supercenter and wholesale (e.g. Walmart, Costco)"
"9",999,288,"R_6Gdr0hO9lNwSGNb","mississippi","","jackson","","don't know ","don't know ","don't know ","Strongly Disagree","Agree","Strongly Agree","","","","","","","","","","","","","","None of the above","No, I have never heard of this before.","","","Educational Institutions (Schools, Colleges, etc.)","","","","","","Very Concerned","","Wearing long sleeves and pants when in wooded or grassy areas","","","","","",5,"Strongly Trust","Strongly Distrust","Strongly Trust","Distrust","Strongly Distrust","Strongly Trust","35 - 44","Male","","Black or African American","","","","","","","","","","","","","","No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",6,"Not religious",131,120,"","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","","","","","Farmers market","","","","Bakery, deli, meal or fish market (gourmet or ethnic)","Meal/Meal Kit Delivery Service (e.g. Blue Apron, Schwan's, etc.)"
"10",1014,167,"R_3O07IcRrLySYNEG","tennessee","","","montgomery","idk","idk","idk","Disagree","Disagree","Neutral","","Blackberries","Ramps","","Pawpaws","","","Mushrooms","","Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)","Wild Nuts","","","","No, but I had heard about a tick bite that makes you allergic to red meat.","","","Educational Institutions (Schools, Colleges, etc.)","","","Friends or Family","","","Very Concerned","","","Checking for ticks after spending time outdoors","","Seeking medical advice or consultation about prevention","","",5,"Distrust","Trust","Neutral","Neutral","Strongly Distrust","Strongly Trust","18 - 24","Male","","Black or African American","","","","","","","","","","","","","","No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",2,"Buddhist",85,88,"","","Health/natural supermarket (e.g. Whole Foods, Natural Grocers)","Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)","Discount store (e.g. Dollar Store; Aldi)","","","Direct from producer (other than farmers markets; e.g. CSA, farm stand, ordering online from a producer)","Food box (e.g. sourced from many farms/producers; picked up at food hub or delivered to home)","","","Farmers market"
"11",1021,189,"R_yyVhUUF55Je3Rw5","tennessee","","","monroe","tennessee","don't know ","farming","Strongly Agree","Agree","Strongly Agree","","","","","","","","","","Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)","","","","","No, but I had heard about a tick bite that makes you allergic to red meat.","","","","Social Media","","","","","Very Concerned","","","","Avoiding areas known for a high presence of Lone Star ticks","","","",2,"Neutral","Neutral","Neutral","Neutral","Neutral","Trust","25 - 34","Male","White","","","","","","","","","","","","","","","No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",1,"Protestant",29,96,"Supercenter and wholesale (e.g. Walmart, Costco)","","","","","","","","","","","Supercenter and wholesale (e.g. Walmart, Costco)"
