"Product","Group","n","Mean WTP ($)","SE","95% CI Lower","95% CI Upper","% Premium","LR Chi-sq","LR df","LR p-value"," "
"Corn","Black",46,0.399,0.039,0.323,0.475,20.93,3.342,1,0.0675,"*"
"Corn","Non-Black",201,0.428,0.017,0.395,0.461,29.73,23.919,1,0,"***"
"Mater","Black",46,1.457,0.372,0.728,2.186,45.67,1.352,1,0.2449,""
"Mater","Non-Black",201,1.186,0.021,1.145,1.227,18.64,59.303,1,0,"***"
"Melon","Black",46,6.258,0.408,5.458,7.058,25.16,7.021,1,0.0081,"***"
"Melon","Non-Black",201,5.743,0.079,5.588,5.898,14.85,82.51,1,0,"***"
"Rice","Black",46,2.08,0.162,1.762,2.398,18.88,4.359,1,0.0368,"**"
"Rice","Non-Black",201,1.987,0.025,1.938,2.036,13.55,96.136,1,0,"***"
"Tater","Black",46,1.231,0.098,1.039,1.423,23.13,4.812,1,0.0283,"**"
"Tater","Non-Black",201,1.173,0.019,1.136,1.21,17.29,66.53,1,0,"***"
