"Product","Treatment","Region","Mean WTP ($)","SE","95% CI Lower","95% CI Upper","% Premium","LR Chi-sq","LR df","LR p-value"," "
"Corn","black","Delta Region",0.459,0.031,0.398,0.52,39.09,13.422,1,2e-04,"***"
"Corn","black","Non-Delta Region",0.434,0.013,0.409,0.459,31.52,36.846,1,0,"***"
"Corn","delta","Delta Region",0.427,0.017,0.394,0.46,29.39,24.758,1,0,"***"
"Corn","delta","Non-Delta Region",0.456,0.046,0.366,0.546,38.18,6.441,1,0.0112,"**"
"Mater","black","Delta Region",1.223,0.028,1.168,1.278,22.3,46.179,1,0,"***"
"Mater","black","Non-Delta Region",1.247,0.025,1.198,1.296,24.7,53.376,1,0,"***"
"Mater","delta","Delta Region",1.205,0.025,1.156,1.254,20.5,52.888,1,0,"***"
"Mater","delta","Non-Delta Region",1.185,0.033,1.12,1.25,18.5,29.398,1,0,"***"
"Melon","black","Delta Region",5.847,0.099,5.653,6.041,16.94,63.098,1,0,"***"
"Melon","black","Non-Delta Region",5.865,0.066,5.736,5.994,17.3,108.203,1,0,"***"
"Melon","delta","Delta Region",5.803,0.08,5.646,5.96,16.06,88.506,1,0,"***"
"Melon","delta","Non-Delta Region",5.521,0.099,5.327,5.715,10.42,52.417,1,0,"***"
"Rice","black","Delta Region",2.029,0.029,1.972,2.086,15.94,82.477,1,0,"***"
"Rice","black","Non-Delta Region",2.066,0.024,2.019,2.113,18.06,103.981,1,0,"***"
"Rice","delta","Delta Region",1.992,0.026,1.941,2.043,13.83,92.97,1,0,"***"
"Rice","delta","Non-Delta Region",1.982,0.045,1.894,2.07,13.26,37.22,1,0,"***"
"Tater","black","Delta Region",1.245,0.031,1.184,1.306,24.5,44.397,1,0,"***"
"Tater","black","Non-Delta Region",1.244,0.022,1.201,1.287,24.4,64.943,1,0,"***"
"Tater","delta","Delta Region",1.178,0.019,1.141,1.215,17.8,68.841,1,0,"***"
"Tater","delta","Non-Delta Region",1.191,0.04,1.113,1.269,19.1,22.374,1,0,"***"
