"Treatment","Product","Group","n","Mean WTP ($)","SE","95% CI Lower","95% CI Upper","% Premium","LR Chi-sq","LR df","LR p-value"," "
"black","Corn","Black Non-Delta",65,0.431,0.018,0.396,0.466,30.75,14.738,1,1e-04,"***"
"black","Corn","Delta Region",230,0.459,0.031,0.398,0.52,39.19,13.422,1,2e-04,"***"
"black","Mater","Black Non-Delta",65,1.374,0.096,1.186,1.562,37.44,8.208,1,0.0042,"***"
"black","Mater","Delta Region",230,1.223,0.028,1.168,1.278,22.33,46.179,1,0,"***"
"black","Melon","Black Non-Delta",65,6.235,0.196,5.851,6.619,24.69,17.943,1,0,"***"
"black","Melon","Delta Region",230,5.847,0.099,5.653,6.041,16.95,63.098,1,0,"***"
"black","Rice","Black Non-Delta",65,2.152,0.032,2.089,2.215,22.97,43.704,1,0,"***"
"black","Rice","Delta Region",230,2.029,0.029,1.972,2.086,15.92,82.477,1,0,"***"
"black","Tater","Black Non-Delta",65,1.267,0.029,1.21,1.324,26.68,27.143,1,0,"***"
"black","Tater","Delta Region",230,1.245,0.031,1.184,1.306,24.52,44.397,1,0,"***"
"delta","Corn","Black Non-Delta",62,0.755,1.256,-1.707,3.217,128.74,0.108,1,0.7424,""
"delta","Corn","Delta Region",247,0.427,0.017,0.394,0.46,29.39,24.758,1,0,"***"
"delta","Mater","Black Non-Delta",62,1.172,0.064,1.047,1.297,17.18,7.798,1,0.0052,"***"
"delta","Mater","Delta Region",247,1.205,0.025,1.156,1.254,20.47,52.888,1,0,"***"
"delta","Melon","Black Non-Delta",62,5.523,0.226,5.08,5.966,10.45,11.507,1,7e-04,"***"
"delta","Melon","Delta Region",247,5.803,0.08,5.646,5.96,16.05,88.506,1,0,"***"
"delta","Rice","Black Non-Delta",62,2.09,0.279,1.543,2.637,19.43,1.892,1,0.169,""
"delta","Rice","Delta Region",247,1.992,0.026,1.941,2.043,13.84,92.97,1,0,"***"
"delta","Tater","Black Non-Delta",62,1.202,0.081,1.043,1.361,20.25,6.451,1,0.0111,"**"
"delta","Tater","Delta Region",247,1.178,0.019,1.141,1.215,17.8,68.841,1,0,"***"
